dx_id,kk,ss,bb,pp,log10(period)
470,5,1,523573,2147483647,46.7
471,5,1,523580,2147483647,46.7
472,5,1,523613,2147483647,46.7
473,5,1,523655,2147483647,46.7
474,5,1,523667,2147483647,46.7
475,5,1,523672,2147483647,46.7
476,5,1,523678,2147483647,46.7
477,5,1,523705,2147483647,46.7
478,5,1,523732,2147483647,46.7
479,5,1,523739,2147483647,46.7
480,5,1,523748,2147483647,46.7
481,5,1,523780,2147483647,46.7
482,5,1,523791,2147483647,46.7
483,5,1,523794,2147483647,46.7
484,5,1,523818,2147483647,46.7
485,5,1,523830,2147483647,46.7
486,5,1,523852,2147483647,46.7
487,5,1,523863,2147483647,46.7
488,5,1,523876,2147483647,46.7
489,5,1,523917,2147483647,46.7
490,5,1,523962,2147483647,46.7
491,5,1,523965,2147483647,46.7
492,5,1,524011,2147483647,46.7
493,5,1,524028,2147483647,46.7
494,5,1,524038,2147483647,46.7
495,5,1,524042,2147483647,46.7
496,5,1,524055,2147483647,46.7
497,5,1,524061,2147483647,46.7
498,5,1,524064,2147483647,46.7
499,5,1,524091,2147483647,46.7
500,5,1,524094,2147483647,46.7
501,5,1,524177,2147483647,46.7
502,5,1,524193,2147483647,46.7
503,5,1,524196,2147483647,46.7
504,5,1,524251,2147483647,46.7
505,5,1,524258,2147483647,46.7
506,5,1,524259,2147483647,46.7
507,5,1,1047615,2147483647,46.7
508,5,1,1047625,2147483647,46.7
509,5,1,1047627,2147483647,46.7
510,5,1,1047628,2147483647,46.7
511,5,1,1047650,2147483647,46.7
512,5,1,1047660,2147483647,46.7
513,5,1,1047717,2147483647,46.7
514,5,1,1047729,2147483647,46.7
515,5,1,1047750,2147483647,46.7
516,5,1,1047761,2147483647,46.7
517,5,1,1047807,2147483647,46.7
518,5,1,1047813,2147483647,46.7
519,5,1,1047819,2147483647,46.7
520,5,1,1047820,2147483647,46.7
521,5,1,1047821,2147483647,46.7
522,5,1,1047850,2147483647,46.7
523,5,1,1047857,2147483647,46.7
524,5,1,1047875,2147483647,46.7
525,5,1,1047881,2147483647,46.7
526,5,1,1047932,2147483647,46.7
527,5,1,1047935,2147483647,46.7
528,5,1,1047945,2147483647,46.7
529,5,1,1047953,2147483647,46.7
530,5,1,1047994,2147483647,46.7
531,5,1,1047996,2147483647,46.7
532,5,1,1048031,2147483647,46.7
533,5,1,1048034,2147483647,46.7
534,5,1,1048056,2147483647,46.7
535,5,1,1048061,2147483647,46.7
